questions,links,notes,tags,semanticsearch,client,id,diagram
פעילויות ואירועים לנוער וצעירים,https://www.ganeytikva.org.il/events/?category=5,,,,,,
עובדי המחלקה,https://www.ganeytikva.org.il./0-1563096787-יצירת-קשר/,,,,,,
מועדון הנוער- התקווה 7,https://www.ganeytikva.org.il./בית-הנוער/,,,,,,
מנהיגות בנוער,https://www.ganeytikva.org.il./מועצת-הנוער/,,,,,,
מרכז המוזיקה- The Basement,https://www.ganeytikva.org.il./מרכז-המוזיקה/,,,,,,
הרכבי מוסיקה,https://www.ganeytikva.org.il./0-1563093809-אודות/,,,,,,
אולפן הקלטות,https://www.ganeytikva.org.il./יצירת-קשר/,,,,,,
מרכז הכנה לשירות משמעותי,https://www.ganeytikva.org.il./אסקייפ-רום/,,,,,,
תהליך הרשמה למכינות ושנות שירות,https://www.ganeytikva.org.il./תהליך-הרשמה-למכינות-ושנות-שירות/,,,,,,
תנועות וארגוני הנוער,https://www.ganeytikva.org.il./תנועות-נוער/,,,,,,
צופים,https://www.ganeytikva.org.il./צופים/,,,,,,
הנוער העובד והלומד,https://www.ganeytikva.org.il./הנוער-העובד-והלומד/,,,,,,
בני עקיבא,https://www.ganeytikva.org.il./בני-עקיבא/,,,,,,
עזרא,https://www.ganeytikva.org.il./עזרא/,,,,,,
איגי,https://www.ganeytikva.org.il./איגי/,,,,,,
חוגי סיור של החברה להגנת הטבע,https://www.ganeytikva.org.il./0-1577363240-איגי/,,,,,,
ביטוח תאונות אישיות לתלמידים,https://eur01.safelinks.protection.outlook.com/?url=https%3A%2F%2Finsuranceagency.mashcal.co.il%2Fauthorities%2Fganeytikva%2F&data=05%7C02%7Croteme%40gantik.org.il%7C41adf9afe9424947577608dc1a556b52%7Cdfb7afcd7187458ba8d626dda8e44e31%7C0%7C0%7C638414201374161999%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=iEoCO9MYlwIxS4F8nITlA%2BY28o1%2FB1lZt64ABH8NF8c%3D&reserved=0,,"ביטוח לתלמידים,ביטוח תלמיד",,,,
מחלקת הרווחה והשירותים החברתיים,https://www.ganeytikva.org.il./אגף-רווחה-והשירותים-החברתיים/,,,,,,
גישור בקהילה,https://www.ganeytikva.org.il./0-1713104816-גישור-בקהילה/,,,,,,
אזרחים ותיקים,https://www.ganeytikva.org.il./אזרחים-ותיקים/,,"הטבות אזרח ותיק,אזרחים ותיקים",,,,
קהילה תומכת,https://www.ganeytikva.org.il./קהילה-תומכת/,,,,,,
מועדון חברתי,https://www.ganeytikva.org.il./מועדון-חברתי/,,,,,,
מרכז יום אופק,https://www.ganeytikva.org.il./מרכז-יום-אופק/,,,,,,
כיתות אזרחים ותיקים,https://www.ganeytikva.org.il./כיתות-אזרחים-ותיקים/,,העשרה אזרחים ותיקים,,,,
בני משפחה המטפלים באזרח הותיק,https://www.ganeytikva.org.il./בני-משפחה-המטפלים-באזרח-הותיק/,,,,,,
ספרייה בשפה הרוסית,https://www.ganeytikva.org.il./ספרייה-בשפה-הרוסית/,,,,,,
תרבות ופנאי לאזרחים ותיקים,https://www.coing.co/Gantik_Vatikim,,,,,,
תכנית תרבותית חברתית לשורדי שואה,https://www.ganeytikva.org.il/news/399/,,,,,,
מרכז פנאי פלוס לאזרחים וותיקים,https://www.ganeytikva.org.il./מרכז-פנאי-פלוס-לאזרחים-וותיקים/,,,,,,
בעלי תפקידים באגף הרווחה והשירותים החברתיים,https://www.ganeytikva.org.il./בעלי-תפקידים-באגף-הרווחה-והשירותים-החברתיים/,,,,,,
מנהל מוגבלויות,https://www.ganeytikva.org.il./מנהל-מוגבלויות/,,,,,,
עיכוב התפתחותי מאובחן בילדות,https://www.ganeytikva.org.il./עיכוב-התפתחותי-מאובחן-בילדות/,,,,,,
אוטיזם,https://www.ganeytikva.org.il./אוטיזם/,,,,,,
מוגבלות שכלית התפתחותית,https://www.ganeytikva.org.il./מוגבלות-שכלית-התפתחותית/,,,,,,
שיקום,https://www.ganeytikva.org.il./שיקום/,,,,,,
התמכרויות,https://www.ganeytikva.org.il./התמכרויות/,,,,,,
משפחה וילד בקהילה,https://www.ganeytikva.org.il./משפחה-וילד-בקהילה/,,,,,,
ליווי למשפחות בעתות משבר,https://www.ganeytikva.org.il./ליווי-למשפחות-בעתות-משבר/,,,,,,
ליווי למשפחות,https://www.ganeytikva.org.il./ליווי-למשפחות/,,,,,,
הגנה על קטינים בסיכון,https://www.ganeytikva.org.il./הגנה-על-קטינים-בסיכון/,,,,,,
סדרי דין,https://www.ganeytikva.org.il./סדרי-דין/,,,,,,
מרכז חוסן למשפחה,https://www.ganeytikva.org.il./מרכז-חוסן-למשפחה/,,,,,,
התחנה לטיפול זוגי ומשפחתי,https://www.ganeytikva.org.il./התחנה-לטיפול-זוגי-ומשפחתי/,,,,,,
מועדוניות,https://www.ganeytikva.org.il./מועדוניות/,,,,,,
היחידה לשלום המשפחה,https://www.ganeytikva.org.il./0-1703492867-היחידה-לשלום-המשפחה/,,,,,,
בית ירוק בקהילה,https://www.ganeytikva.org.il./בית-ירוק-בקהילה/,,,,,,
חוסן לקהילה,https://www.ganeytikva.org.il./חוסן-לקהילה/,,,,,,
מידע חשוב להורים פרודים/גרושים,https://www.ganeytikva.org.il./מידע-חשוב-להורים-פרודים-גרושים/,,,,,,
"השירות לנוער, צעירים וצעירות",https://www.ganeytikva.org.il./השירות-לנוער-צעירים-וצעירות/,,,,,,
ליווי פרטני,https://www.ganeytikva.org.il./ליווי-פרטני/,,,,,,
מועדון נוער ייחודי לנוער חרדי,https://www.ganeytikva.org.il./מועדון-נוער-ייחודי-לנוער-חרדי/,,,,,,
פעילויות לקהילה,https://www.ganeytikva.org.il./פעילויות-לקהילה/,,,,,,
יחידת התנדבות עירונית,https://www.coing.co/Gantik_Volunteers,,,,,,
אגף הכנסות גבייה וארנונה,https://www.ganeytikva.org.il./הכנסות-גבייה-ארנונה/,,,,,,
צווי מיסים ארנונה,https://www.ganeytikva.org.il./צווי-מיסים-ארנונה/,,,,,,
תווי מזון לזכאים,https://www.ganeytikva.org.il./תווי-מזון-לזכאים/,,,,,,
תשלום ארנונה,https://city4u.co.il/PortalServicesSite/cityPay/502200?SId=1&LAMASID=502200,,,,,,
טפסים - גבייה,https://www.ganeytikva.org.il/forms/?category=44,,,,,,
מידע בנושא הנחות בארנונה כללי,https://www.ganeytikva.org.il./מידע-בנושא-הנחות-בארנונה-כללי/,,,,,,
החלטות ועדת ערר,https://www.ganeytikva.org.il./החלטות-ועדת-ערר/,,,,,,
חוקי עזר עירוניים,https://www.ganeytikva.org.il./חוקי-עזר-עירוניים/,,,,,,
סקר נכסים ומדידות - שאלות ותשובות,https://www.ganeytikva.org.il/1162/?preview=d5ew6s16a41w15,,,,,,
מחלקת נכסים והשכרת מרחבים,https://www.ganeytikva.org.il./מחלקת-נכסים/,,,,,,
טופס בקשה להשכרת מרחב,https://www.ganeytikva.org.il./טופס-בקשה-להשכרת-מרחב/,,,,,,
אגף הנדסה,https://www.ganeytikva.org.il./אגף-הנדסה/,,"היתר,בקשה להיתר,בקשה להריסה,בנייה חדשה,טופס 4,שימוש חורג",,,,
זימון תורים לועדה המקומית,https://www.ganeytikva.org.il/appointments/,,"תור להנדסה,תור לדיון בועדה",,,,
אתר ועדה מקומית לתכנון ובנייה,http://handasa.ganeytikva.org.il/Pages/default.aspx,,,,,,
תכנית המתאר הכוללנית של גני תקווה,https://www.ganeytikva.org.il./תכנית-המתאר-הכוללנית-של-גני-תקווה/,,"תוכנית מתאר,תוכנית מתאר עיר ",,,,
אישור היעדר חובות (אישור לטאבו),https://www.ganeytikva.org.il./אישור-היעדר-חובות-אישור-לטאבו/,,"אישור לדירה,אישור לטאבו",,,,
רישוי עסקים,https://www.ganeytikva.org.il./רישוי-עסקים/,,,,,,
הרפורמה בחוק רישוי עסקים,https://www.ganeytikva.org.il./הרפורמה-בחוק-רישוי-עסקים/,,,,,,
מהו צו רישוי עסקים,https://www.ganeytikva.org.il./מהו-צו-רישוי-עסקים/,,,,,,
המפרט הרשותי של העירייה,https://www.ganeytikva.org.il./0-1610262207-המפרט-הרשותי-של-מועצה/,,,,,,
דרישות כלליות מעסקים,https://www.ganeytikva.org.il./0-1610263403-דרישות-כלליות-מעסקים/,,,,,,
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il./0-1610263790-דרישות-פרטניות-מעסקים/,,,,,,
מעקב בקשה לקבלת רישיון עסק,https://rishuy-portal.citysys.co.il/?mun=ganey_tikva#/baal/login,,,,,,
הגשת בקשה מקוונת לקבלת רישיון עסק,https://rishuy-portal.citysys.co.il/new_request/?mun=ganey_tikva,,,,,,
מערכת זימון תורים למחלקת רישוי ופיקוח עסקים,https://www.ganeytikva.org.il/appointments/?id=24  ,,,,,,
פיקוח על הבניה והעסקים,https://www.ganeytikva.org.il./פיקוח-על-הבניה-והעסקים/,,,,,,
הנחיות כלליות לעסקים,https://www.ganeytikva.org.il./דרישות-כלליות-מעסקים/,,,,,,
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il./דרישות-פרטניות-מעסקים/,,,,,,
הנחיות לשימוש במפרט האחיד,https://www.ganeytikva.org.il./הנחיות-לשימוש-במפרט-האחיד/,,,,,,
עמדות טעינה,https://www.ganeytikva.org.il./עמדות-טעינה/,,"עמודות טעינה,רכב חשמלי טעינה,איפה יש עמדות טעינה ",,,,
תחבורה ציבורית,https://www.ganeytikva.org.il./תחבורה-ציבורית/,,"תחנות אוטובוס,תחנת אוטובוס,רכבת קלה ",,,,
תלונה על קו אוטובוס,https://www.ganeytikva.org.il./תלונה-על-קו-אוטובוס/,,,,,,
מיזם רכב שיתופי  - בוחרים בתחבורה ירוקה ושיתופית,https://www.ganeytikva.org.il./מיזם-רכב-שיתופי-עוברים-לתחבורה-ירוקה-ושיתופית/,,,,,,
מערכות לייצור אנרגיה מתחדשת על גגות מבני ציבור,https://www.ganeytikva.org.il./פרויקט-סולארי-על-גגות-מבני-ציבור/,,"פאנלים סולרים,אנרגיה מתחדשת",,,,
מידע כללי וממשלתי על מערכות פוטו-וולטאיות,https://www.ganeytikva.org.il./מידע-כללי-על-מערכות-סולאריות/,,,,,,
אתרי פאנלים סולאריים בתחומי הרשות,https://www.ganeytikva.org.il./פאנלים-סולאריים/,,,,,,
שאלות תשובות,https://www.ganeytikva.org.il./שאלות-תשובות/,,,,,,
מקורות מידע נוספים,https://www.ganeytikva.org.il./מקורות-מידע-נוספים/,,,,,,
כלים חינוכיים,https://www.ganeytikva.org.il./כלים-חינוכיים/,,,,,,
נוהל הקמת גינת כלבים,https://www.ganeytikva.org.il./0-1622015301-/,,גינות כלבים ,,,,
גזברות,https://www.ganeytikva.org.il./אגף-גזברות-והנהלת-חשבונות/,,,,,,
הנהלת חשבונות,https://www.ganeytikva.org.il./הנהלת-חשבונות/,,,,,,
שכר,https://www.ganeytikva.org.il./שכר/,,,,,,
תמיכות עירוניות,https://www.ganeytikva.org.il./תמיכות-עירוניות/,,,,,,
רכש,https://www.ganeytikva.org.il./מחלקת-רכש/,,,,,,
הכנסות וארנונה,https://www.ganeytikva.org.il/171/,,,,,,
אגף חזות פני העיר,https://www.ganeytikva.org.il./אגף-חזות-פני-העיר/,,,,,,
שירות וטרינרי,https://www.ganeytikva.org.il./שירות-וטרינרי/,,,,,,
מחלקת לוגיסטיקה,https://www.ganeytikva.org.il./מחלקת-לוגיסטיקה/,,,,,,
השאלת ציוד לאבלים,https://www.ganeytikva.org.il./השאלת-ציוד-לאבלים/,,,,,,
"מפגעי תעבורה - תיקון, שיפוץ, שילוט",https://www.ganeytikva.org.il./מפגעי-תעבורה-תיקון-שיפוץ-שילוט/,,,,,,
מפגעי מזג אוויר,https://www.ganeytikva.org.il./מפגעי-מזג-אוויר/,,"סופה,גשם כבד,הצפה,עמוד שקרס,עץ שקרס",,,,
תחזוקה שוטפת ברחבי העיר,https://www.ganeytikva.org.il./תחזוקה-שוטפת-ברחבי-העיר/,,,,,,
תחזוקה שוטפת במוסדות חינוך וגני ילדים,https://www.ganeytikva.org.il./תחזוקה-שוטפת-במוסדות-חינוך-וגני-ילדים/,,,,,,
אירועים מטעם העירייה – הקמה ופירוק,https://www.ganeytikva.org.il./אירועים-מטעם-העירייה-הקמה-ופירוק/,,,,,,
ליווי קבלני משנה בתחזוקה כללית,https://www.ganeytikva.org.il./ליווי-קבלני-משנה-בתחזוקה-כללית/,,"קבלני משנה,קבלני תחזוקה ",,,,
מחלקת גנים ונוף ומתקני משחק,https://www.ganeytikva.org.il./מחלקת-גינון-ומתקני-משחק/,,"מתקני משחק,גינת משחקים",,,,
יצירת קשר עם מחלקת גנים ונוף,https://www.ganeytikva.org.il./יצירת-קשר-עם-מחלקת-גינון/,,,,,,
אישורי כריתת עצים,https://www.ganeytikva.org.il./אישורי-כריתת-עצים/,,,,,,
נוהל בקשת אישור כריתה,https://www.ganeytikva.org.il./נוהל-בקשת-אישור-כריתה/,,,,,,
אישורים שניתנו,https://www.gov.il/he/departments/guides/pro_felling_trees,,,,,,
תכנית גינון שבועית בחתך רחובות במחלקת הגינון,https://www.ganeytikva.org.il./תכנית-גינון-שבועית-בחתך-רחובות-ותחומי-עבודה-של-מחלקת-הגינון/,,,,,,
העצים של גני תקווה,https://www.ganeytikva-trees.org.il/,,,,,,
מחלקת פיקוח עירוני,https://www.ganeytikva.org.il./מחלקת-פיקוח-עירוני/,,,,,,
נוהל מדיניות אכיפת חוקי עזר,https://www.ganeytikva.org.il./נוהל-מדיניות-אכיפת-חוקי-עזר/,,,,,,
מדיניות אירועים פרטיים בפארקים ציבוריים,https://www.ganeytikva.org.il./מדיניות-אירועים-פרטיים-בפארקים-ציבוריים/,,,,,,
"דו""חות חניה ופיקוח",https://www.ganeytikva.org.il./דו-חות-חניה-ופיקוח/,,,,,,
אכיפת איסור עישון,https://www.ganeytikva.org.il./אכיפת-איסור-עישון/,,,,,,
פיקוח וחניה,https://www.ganeytikva.org.il./פיקוח-וחניה/,,,,,,
"מחלקת שפ""ע",https://www.ganeytikva.org.il./מחלקת-שפ-ע/,,,,,,
נוהל הוצאה ופינוי גזם/גרוטאות ברחבי העיר,https://www.ganeytikva.org.il./נוהל-הוצאה-ופינוי-גזם-גרוטאות-ברחבי-העיר/,,"פינוי אשפה ימי פינוי,גזם ימי פינוי,מתי מוצאים גזם,גרוטאות",,,,
"ועדה לאיכות סביבה ושפ""ע - פרוטוקולים",https://www.ganeytikva.org.il./protocols/?year=0&category=3&order=date-desc,,,,,,
ימי פינוי ונוהל הוצאת גזם וגרוטאות,https://www.ganeytikva.org.il./ימי-פינוי-ונוהל-הוצאת-גזם-וגרוטאות/,,,,,,
עושים איכות סביבה - ממחזרים,https://www.ganeytikva.org.il./עושים-איכות-סביבה-ממחזרים/,,,,,,
פינוי אשפה,https://www.ganeytikva.org.il./נוהל-הוצאה-ופינוי-גזם-גרוטאות-ברחבי-המועצה/,,,,,,
ימי פינוי אשפה ביתית ניקיון רחובות ומיקום מחזוריות לפי רחוב,https://www.ganeytikva.org.il./ימי-פינוי-אשפה-ביתית-ומיקום-מחזוריות-לפי-רחובות/,,,,,,
מחלקת חשמל ותאורה,https://www.ganeytikva.org.il./מחלקת-חשמל-ותאורה/,,,,,,
מתן שירות אחזקה לתאורת רחוב,https://www.ganeytikva.org.il./מתן-שירות-אחזקה-לתאורת-רחוב/,,,,,,
מתן שירות אחזקה למוסדות החינוך וציבורי,https://www.ganeytikva.org.il./מתן-שירות-אחזקה-למוסדות-החינוך-וציבורי/,,,,,,
מתן שירות לאירועי העירייה,https://www.ganeytikva.org.il./מתן-שירות-לאירועי-העירייה/,,,,,,
ביצוע בדיקות קרינה במוסדות חינוך,https://www.ganeytikva.org.il./ביצוע-בדיקות-קרינה-במוסדות-חינוך/,,,,,,
הקצאת מקום חנייה לנכים,https://www.ganeytikva.org.il./הקצאת-מקום-חנייה-לנכים/,,,,,,
מחלקת אחזקת מערכות,https://www.ganeytikva.org.il./מחלקת-אחזקת-מערכות/,,,,,,
אנרגיה סולארית – מערכות פוטו וולטאי,https://www.ganeytikva.org.il./אנרגיה-סולארית-מערכות-פוטו-וולטאי/,,,,,,
מעליות ומחסומים,https://www.ganeytikva.org.il./מעליות-ומחסומים/,,,,,,
מערכות מיזוג אוויר מרכזיות,https://www.ganeytikva.org.il./מערכות-מיזוג-אוויר-מרכזיות/,,,,,,
מערכות שחרור עשן,https://www.ganeytikva.org.il./מערכות-שחרור-עשן/,,,,,,
"חדרי משאבות ומז""חים",https://www.ganeytikva.org.il./חדרי-משאבות-ומז-חים/,,,,,,
בריכות ביולוגיות,https://www.ganeytikva.org.il./בריכות-ביולוגיות/,,,,,,
"מחלקת בטחון, בטיחות וחירום",https://www.ganeytikva.org.il./אגף-לבטחון-בטיחות-וחירום/,,,,,,
סטטוס גני תקווה פיקוד העורף,https://www.ganeytikva.org.il./סטטוס-גני-תקווה-פיקוד-העורף/,,,,,,
היערכות לחירום - הנחיות מצילות חיים,https://www.ganeytikva.org.il./duplicated-1659813076/,,,,,,
רשימת מקלטים לשעת חירום,https://www.ganeytikva.org.il./duplicated-1679384251/,,,,,,
מיזם 100,https://www.ganeytikva.org.il./מיזם-100/,,,,,,
יחידת סער,https://www.ganeytikva.org.il./יחידת-סער/,,,,,,
הנחיות לציבור במזג אוויר סוער,https://www.ganeytikva.org.il./הנחיות-לציבור-במזג-אוויר-סוער/,,,,,,
מצלמות אבטחה ביישוב,https://www.ganeytikva.org.il./מצלמות-אבטחה-ביישוב/,,,,,,
משמר השכונה,https://www.ganeytikva.org.il./בסיס-מתנדבים-ושיטור-קהילתי/,,,,,,
אגף קהילה וקידום עסקים ומעמד האישה,https://www.ganeytikva.org.il./אגף-קהילה-וקידום-עסקים/,,,,,,
מחוברות - קהילת הנשים של גני תקווה,https://www.ganeytikva.org.il./מחוברות-קהילת-נשים/,,,,,,
צילומי תדמית של מחוברות,https://www.ganeytikva.org.il./צילומי-תדמית/,,,,,,
מחוברות לטוב,https://www.ganeytikva.org.il./duplicated-1697993758/,,,,,,
חמישי נשי,https://www.ganeytikva.org.il./חמישי נשי /,,,,,,
קורס מבוא - NLP ומיינדפולנס,https://www.ganeytikva.org.il./0-1644502385-/,,,,,,
קורס שיווק דיגיטלי,https://www.ganeytikva.org.il./duplicated-1645358291/,,,,,,
קורס תכנון פיננסי,https://www.ganeytikva.org.il./duplicated-1645358331/,,,,,,
קורס נומרולוגיה התפתחותית,https://www.ganeytikva.org.il./קורס-נומרולוגיה-התפתחותית/,,,,,,
דייט עם אימוש!,https://www.ganeytikva.org.il./duplicated-1686061577/,,,,,,
גורג'ס | את הכי גורג'ס כשאת תורמת,https://www.ganeytikva.org.il./גורג-ס-את-הכי-גורג-ס-כשאת-תורמת/,,,,,,
מרגישים בבית | הרצאות להורים אצלכם בבניין,https://www.ganeytikva.org.il./duplicated-1681724026/,,,,,,
מתחשבים - בגני תקווה לכל בית יהיה מחשב!,https://www.ganeytikva.org.il./דואגים-למחשב-לכל-בית/,,,,,,
עסקים בגני תקווה,https://www.ganeytikva.org.il./עסקים-בגני-תקווה/,,,,,,
מחלקת תרבות ואירועים,https://www.ganeytikva.org.il./מחלקת-תרבות-ואירועים/,,,,,,
אגף דוברות והסברה,https://www.ganeytikva.org.il./אגף-דוברות-הסברה-ושירות-לתושב/,,,,,,
אגף אסטרטגיה חדשנות ודיגיטל,https://www.ganeytikva.org.il./אגף-אסטרטגיה-חדשנות-ודיגיטל/,,,,,,
פרויקט 'עיר חכמה',https://www.ganeytikva.org.il./עיר-חכמה/,,,,,,
READ YOUR METER,https://www.ganeytikva.org.il./read-your-meter/,,,,,,
תוכנת אופיס בחינם לתלמידי ומורי מערכת החינוך,https://www.ganeytikva.org.il./תוכנת-אופיס-בחינם-לתלמידי-ומורי-מערכת-החינוך/,,,,,,
אגף משאבי אנוש,https://www.ganeytikva.org.il./מחלקת-משאבי-אנוש/,,,,,,
לשכה משפטית,https://www.ganeytikva.org.il./לשכה-משפטית/,,,,,,
יחידת ביטוח ותביעות,https://www.ganeytikva.org.il./יחידת-ביטוח-ותביעות/,,,,,,
מבקרת העירייה ותלונות הציבור,https://www.ganeytikva.org.il./מבקרת-העירייה-ותלונות-הציבור/,,,,,,
דוחות הממונה על תלונות הציבור,https://www.ganeytikva.org.il./דוחות-הממונה-על-פניות-הציבור/,,,,,,
טופס הגשת תלונה לממונה על תלונות הציבור בעירייה,https://www.ganeytikva.org.il./טופס-הגשת-תלונה-לממונה-על-תלונות-הציבור-במועצה/,,,,,,
תרבות יהודית,https://www.ganeytikva.org.il./המחלקה-לתרבות-יהודית/,,,,,,
אגף ספורט ובריאות,https://www.ganeytikva.org.il./אגף-ספורט-ובריאות/,,,,,,
"""עיר בריאה""",https://www.ganeytikva.org.il./עיר-בריאה/,,,,,,
אתר אפשרי בריא,https://efsharibari.gov.il/,,,,,,
רשת ערים בריאות,http://www.healthycities.co.il/,,,,,,
"הכירו את נועה אפל, נערה בת 18 עם צרכים מיוחדים",https://www.ganeytikva.org.il./הכירו-את-נועה-אפל-נערה-בת-18-עם-צרכים-מיוחדים/,,,,,,
"הכירו את אורי דוד, בן ה-13 וחצי, הלומד בחטיבת ""הראשונים",https://www.ganeytikva.org.il./הכירו-את-אורי-דוד-בן-ה-13-וחצי-הלומד-בחטיבת-הראשונים/,,,,,,
"הכירו את אורי ונועם, ילדים ממועדונית הרווחה, תושבת גני תקווה",https://www.ganeytikva.org.il./הכירו-את-אורי-ונועם-ילדים-ממועדונית-הרווחה-תושבת-גני-תקווה/,,,,,,
"הכירו את גאיה פרידמן, נערה עם צרכים מיוחדים, תושבת גני תקווה:",https://www.ganeytikva.org.il./הכירו-את-גאיה-פרידמן-נערה-עם-צרכים-מיוחדים-תושבת-גני-תקווה/,,,,,,
גנית,https://www.ganeytikva.org.il./גנית/,,,,,,
גילגל,https://www.ganeytikva.org.il./גילגל/,,,,,,
חברת פסגות,https://www.ganeytikva.org.il./חברת-פסגות/,,,,,,
barcodes,https://www.ganeytikva.org.il./barcodes/,,,,,,
"ברכת ראש המועצה, ליזי דלריצ'ה | חגי תשרי תשפ""ב",https://www.ganeytikva.org.il./ברכת-ראש-המועצה-ליזי-דלריצ-ה-לחגי-תשרי/,,,,,,
מנהל.ות גן,https://www.ganeytikva.org.il./מנהלות-גן/,,,,,,
עמוד ראשי,https://www.ganeytikva.org.il./,,,,,,
תנאי שימוש,https://www.ganeytikva.org.il./terms/,,,,,,
מדיניות פרטיות,https://www.ganeytikva.org.il./privacy/,,,,,,
מרחב אישי לתושב/ת,https://www.ganeytikva.org.il./toshav-center/,,,,,,
FOOTER,https://www.ganeytikva.org.il./footer/,,,,,,
לומר מילה טובה,https://www.ganeytikva.org.il./לומר-מילה-טובה/,,,,,,
הצהרת נגישות,https://www.ganeytikva.org.il./accessibility/,,,,,,
עסקים,https://www.ganeytikva.org.il./עסקים/,,"עסקים בעיר,עזרה לעסקים,פתיחת עסק",,,,
מתעסקים בעסקים,https://www.ganeytikva.org.il./מתעסקים-בעסקים/,,,,,,
לוח עסקים,https://www.ganeytikva.org.il./935/,,,,,,
רישוי עסקים,https://www.ganeytikva.org.il./420/,,"עסקים בעיר,רישוי עסקים,בקשה לעסק",,,,
קידום עסקים,https://www.ganeytikva.org.il./859/,,,,,,
QBIX מרחב עבודה עירוני,https://qbix.co.il/,,,,,,
איכות הסביבה,https://www.ganeytikva.org.il./איכות-הסביבה/,,,,,,
חתולי רחוב,https://www.ganeytikva.org.il./האכלת-חתולי-רחוב/,,"האכלת חתולים,חתול רחוב,מתקני האכלה",,,,