questions,links,notes,TAGS,semanticsearch,client,id,diagram
כמה מפגעים קיימים בעיר בסהכ?,,5213,"מפגעים,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה מפגעים קיימים בעיר בסהכ?:5213,בני ברק,0,"categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]"
כמה מפגעי מדרכה קיימים?,,1950,"מפגעים,מפגעי מדרכה,מדרכה,במדרכה,ומדרכה,מדרכות,בני ברק",כמה מפגעי מדרכה קיימים?:1950,בני ברק,1,"categories = [גדר בטיחות פגומה,גידוד שורשים,שקע,תמרור תקול,שקע בכביש]values = [1,66,15,1,1]"
כמה מפגעי כביש קיימים?,,3115,"מפגעים,מפגעי כביש,כביש,בכביש,וכביש,כבישים,בני ברק",כמה מפגעי כביש קיימים?:3115,בני ברק,2,"categories = [בור בכביש,בור במדרכה,כביש סדוק,ספסל תקול,שקע בכביש,שקע במדרכה]values = [3093,1874,3,81,1,21]"
כמה מפגעי תמרורים קיימים?,,1,"מפגעים,מפגעי תמרור,בתמרור,תמרורים,ותמרו,ותמרורים,תמרורים,בני ברק",כמה מפגעי תמרורים קיימים?:1,בני ברק,3,categories = [Grand Total]values = [5213]
כמה מפגעי תברואה קיימים?,,66,"מפגעים,מפגעי תברואה,ותברואה,בני ברק",כמה מפגעי תברואה קיימים?:66,בני ברק,4,categories = [כביש מקורצף]values = [4]
כמה מפגעי תאורה וחשמל קיימים?,,37,"מפגעים,תאורה,חשמל,תאורה,חשמל,וחשמל,ותאורה,תאורה וחשמל,בני ברק",כמה מפגעי תאורה וחשמל קיימים?:37,בני ברק,5,
כמה מפגעי ריהוט והצללה קיימים?,,81,"מפגעים,ריהוט,הצללה,ריהטים,הצללות,וריהוט,והצללות,ריהוט והצללה,בני ברק",כמה מפגעי ריהוט והצללה קיימים?:81,בני ברק,6,
כמה מפגעים קשים קיימים?,,102,"מפגעים,קשה,וקשה,קשים,דירוג קשה,בני ברק",כמה מפגעים קשים קיימים?:102,בני ברק,7,
כמה מפגעים בינוניים קיימים?,,1131,"מפגעים,בינוני,ובינוני,בינוניים,דירוג בינוני,בני ברק",כמה מפגעים בינוניים קיימים?:1131,בני ברק,8,
כמה מפגעים קלים קיימים?,,1131,"מפגעים,קל,וקל,קלים,דירוג קל,בני ברק",כמה מפגעים קלים קיימים?:1131,בני ברק,9,
כמה תמרורים תקולים קיימים?,,1,"מפגעים,תמרור,תמרורים,תקול,תקולים",כמה תמרורים תקולים קיימים?:1,בני ברק,10,
כמה עמודי חסימה תקולים קיימים?,,4,"מפגעים,עמודי חסימה,עמוד,חסימה,עמודים,תקול,תקולים,בני ברק",כמה עמודי חסימה תקולים קיימים?:4,בני ברק,11,
כמה מפגעים יש?,,5213,"מפגעים,מפגע,יש,סהכ,סה״כ,בסך הכל,בסכום הכולל,בני ברק",כמה מפגעים יש?:5213,בני ברק,12,
כמה מפגעים נרשמו בחודש האחרון?,,30,"מפגעים,מפגע,נרשמו,נכתבו,תועדו,תיעוד,חודש,בחודש,האחרון,אחרון    ",כמה מפגעים נרשמו בחודש האחרון?:30,בני ברק,13,
כמה מפגעים חדשים נוספו היום?,,4,"מפגעים,מפגע,חדשים,חדש,נוספו,התווספו,הוסיפו,נרשמו,רשמו,נכתבו,כתבו,היום,יום     ",כמה מפגעים חדשים נוספו היום?:4,בני ברק,14,
כמה מפגעים חדשים נוספו בשבוע האחרון?,,0,"מפגעים,מפגע,חדשים,נוספו,התווספו,הוסיפו,נרשמו,רשמו,נכתבו,כתבושבוע,השבוע,בשבוע,האחרון,אחרון",כמה מפגעים חדשים נוספו בשבוע האחרון?:0,בני ברק,15,
כמה מפגעים תוקנו היום?,,61,"מפגעים,מפגע,תוקנו,תיקנו,היום          ",כמה מפגעים תוקנו היום?:61,בני ברק,16,
כמה מפגעים תוקנו בחודש האחרון?,,0,"מפגעיםמפגעת,תוקנו,תיקנו,חודש,בחודש,החודש,אחרון,האחרון     ",כמה מפגעים תוקנו בחודש האחרון?:0,בני ברק,17,
מהי הסטטיסטיקה של מפגעים לפי שכונות?,,8,"מפגעים,מפגע,לפי,עפי,עפ״י,שכונות,השכונות,בשכונות  ",מהי הסטטיסטיקה של מפגעים לפי שכונות?:8,בני ברק,18,
מהי הסטטיסטיקה של מפגעים לפי אזורים בעיר?,,94,"מפגעים,מפגע,לפי,עפי,עפ״י,אזורים,האזורים,באזורים,אזור,עיר,ערים ",מהי הסטטיסטיקה של מפגעים לפי אזורים בעיר?:94,בני ברק,19,
כמה תלונות על מפגעים התקבלו היום?,,15,"מפגעים,מפגע,תלונות,תלונה,התקבלו,התקבלה,הגיעו,הגיעה,היום,מהיום,כמה   ",כמה תלונות על מפגעים התקבלו היום?:15,בני ברק,20,
כמה תלונות על מפגעים טופלו היום?,,6,"מפגעים,מפגע,תלונות,תלונה,להתלונן,טופלו,טופל,היום,מהיום,כמה   ",כמה תלונות על מפגעים טופלו היום?:6,בני ברק,21,
כמה מפגעים פתוחים יש כרגע?,,5213,"מפגעים,מפגע,פתוחים,פתוח,כרגע,יש,קיימים    ",כמה מפגעים פתוחים יש כרגע?:5213,בני ברק,22,"categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]"
כמה מפגעים סגורים (תוקנו) יש כרגע?,,6,"מפגעים,מפגע,סגורים,סגור,תוקנו,מתוקן,תקין,כרגע,ברגע זה,עכשיו  ",כמה מפגעים סגורים (תוקנו) יש כרגע?:6,בני ברק,23,
כמה מפגעים יש בכל קטגוריה?,,0,"מפגעים,מפגע,קיימים בקטגוריה,קיים בקטגוריה,קטגוריה,בקטגוריה              ",כמה מפגעים יש בכל קטגוריה?:0,בני ברק,24,"categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]"
כמה זמן בממוצע לוקח לתקן מפגע?,,44,"מפגעים,מפגע,זמן,פרק זמן,ממוצע,בממוצע,לתקן,תיקון     ",כמה זמן בממוצע לוקח לתקן מפגע?:44,בני ברק,25,
מהו המפגע החמור ביותר שזוהה היום?,,בור בכביש,"מפגעים,מפגע,חמור ביותר,החמור,זוהה,זיהוי,היום,יום     ",מהו המפגע החמור ביותר שזוהה היום?:בור בכביש,בני ברק,26,
מהו המפגע החמור ביותר שזוהה השבוע?,,25,"מפגעים,מפגע,חמור ביותר,החמור,זוהה,זיהוי,השבוע,בשבוע,שבוע     ",מהו המפגע החמור ביותר שזוהה השבוע?:25,בני ברק,27,
כמה מפגעי מדרכה נותרו ללא טיפול?,,1,"מפגעים,מפגע,מדרכה,במדרכה,נותרו,נשארו,ללא,לא,טיפול,טופלו      ",כמה מפגעי מדרכה נותרו ללא טיפול?:1,בני ברק,28,
כמה מפגעי כביש תוקנו היום?,,42,"מפגעים,מפגע,כביש,בכביש,תיקנו,תוקנו,מתוקנים,תקינים,תקין,מתוקן,היום,יום      ",כמה מפגעי כביש תוקנו היום?:42,בני ברק,29,
שכונות עם הכי הרבה מפגעים?,,"כהנמן,סובב עירייה,מרכז העיר","מפגעים,מפגע,הרבה מפגעים,הרבה,שכונות עם מפגעים,שכונה,שכונות,כמות גדולה של מפגעים,כמות,גדולה,מספר גדול של מפגעים,מספר,גדול","שכונות עם הכי הרבה מפגעים?:כהנמן,סובב עירייה,מרכז העיר",בני ברק,30,
מהן השכונות עם הכי מעט מפגעים?,,"פרדס כץֿ,ארזים,א.ת בסר","מפגעים,מפגע,מעט מפגעים,שכונות עם מעט מפגעים,שכונות,שכונה,כמות קטנה של מפגעים,כמות,קטנה,קטן,מספר קטן של מפגעים,מספר","מהן השכונות עם הכי מעט מפגעים?:פרדס כץֿ,ארזים,א.ת בסר",בני ברק,31,
כמה מפגעים נותרו מיום האתמול?,,17,"מפגעים,מפגע,נותרו,נשארו,אתמול,מאתמול,האתמול         ",כמה מפגעים נותרו מיום האתמול?:17,בני ברק,32,
כמה מפגעים דווחו יותר מפעם אחת?,,2,"מפגעים,מפגע,דווחו,דיווחו,דוח,יותר,פעם,מפעם,אחת     ",כמה מפגעים דווחו יותר מפעם אחת?:2,בני ברק,33,
מהי הקטגוריה עם הכי הרבה מפגעים?,,מדרכה,"מפגעים,מפגע,הכי הרבה,הכי,הרבה     ",מהי הקטגוריה עם הכי הרבה מפגעים?:מדרכה,בני ברק,34,
מהי הקטגוריה עם הכי מעט מפגעים?,,כביש,"מפגעים,מפגע,הכי מעט,הכי,מעט",מהי הקטגוריה עם הכי מעט מפגעים?:כביש,בני ברק,35,
כמה מפגעים יש במערכת שמחכים לבדיקה?,,5,"מפגעים,מפגע,מערכת,מחכים,מחכה,ממתינים,ממתין,בדיקה,לבדיקה    ",כמה מפגעים יש במערכת שמחכים לבדיקה?:5,בני ברק,36,
גרף של כמות המפגעים,,5213,"גרף,גרף מפגעים,גרף כמות מפגעים,גרפים,גרף של מפגעים","categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]",בני ברק,37,"categories = [מפגע מדרכה,מפגע ריהוט והצללה,מפגע תברואה,מפגע תמרור ,Grand Total]values = [1950,81,66,1,5213]"
ארנונה,https://www.ganeytikva.org.il/171/.,,,,,,