 ,links,notes,tags,semanticsearch,client,id,diagram,category,,uniqueCategories
ועדות עירייה ודירקטוריון 2024,https://www.ganeytikva.org.il./ועדות-עירייה-ודירקטוריון-2024/,,"ועדות עירייה,דירקטוריון",,,,,כללי,,חינוך
(Ganne Tikva) Welcome to GANEY TIKVA,https://www.ganeytikva.org.il./english/,,,,,,,כללי,,שפע
One pager עיריית גני תקווה,https://www.ganeytikva.org.il./one-pager-עיריית-גני-תקווה/,,,,,,,כללי ,,רווחה
מקום בעיר - מתחמי פעילות להשכרה,https://www.ganeytikva.org.il./מקום-בעיר-מתחמי-פעילות-להשכרה/,,"השכרת מתחימים, מתחמי פעילויות",,,,,כללי,,מוקד עירוני
מקפיצים אתכם לרכבת הקלה | קו 75,https://www.ganeytikva.org.il./ממשיכים-לנוע-קדימה-שאטל-ganey-tikbus-הופך-לקבוע/,,"הסעות,רכבת קלה,הסעות לרכבת ",,,,,כללי,,רישוי עסקים
חוברת היערכות לחירום לתושבי גני תקווה,https://www.ganeytikva.org.il./חוברת-היערכות-לחירום-לתושבי-גני-תקווה/,,"חירום,חוברת הערכות,הערכות לחירום",,,,,חירום ,,תרבות
מזל טוב על התוספת החדשה במשפחה | קופון מתנה,https://www.ganeytikva.org.il./מזל-טוב-על-התוספת-החדשה-במשפחה-קופון-מתנה/,,"נולד לי ילד,ילודה,ידים,ילדה,נולדה",,,,,כללי,,גבייה
קבלת קהל,https://www.ganeytikva.org.il./קבלת-קהל-בעירייה/,,"קבלת קהל,קבלת,קהל",,,,,כללי,,כללי 
שירותים עירוניים,https://www.ganeytikva.org.il./שירותים-עירוניים/,,שירותים לעירוניים,,,,,כללי,,חירום
מים וביוב - תאגיד מי תקווה,https://www.mei-tikva.co.il/,,"ביוב,תאגיד מים,חשבון מים ",,,,,כללי,,הנדסה
פינוי אשפה וגרוטאות,https://www.ganeytikva.org.il./166/,,"פינוי,אשפה,גורטאות,פינוי אשפה,לפנות,מפנים,פסולת,זבל,גזם,ביתית,ענפים,פיקוח,פיקוח עירוני,יום הוצאה,יום פינוי,מחזור,מדרכה,קנס",,,,,כללי,,
ארנונה,https://www.ganeytikva.org.il./171/,,"ארנונה,ארנונה לתושב,צו ארנונה",,,,,גבייה ,,
פיקוח עירוני וחניה,https://www.ganeytikva.org.il./246/,,"חניה,חנייה,פיקוח חנייה,פיקוח עירוני,פיקוח ",,,,,כללי,,
עמדות טעינה לרכב חשמלי,https://www.ganeytikva.org.il/1019/.,,"רכב חשמלי,עמדות טעינה,הטענת רכב ",,,,,כללי,,
שירות וטרינרי,https://www.ganeytikva.org.il/1118/.,,"וטרינר,בעלי חיים,שירות וטרינרי",,,,,כללי,,
"מרכז הספורט ""לידר""",https://www.leadersport.co.il/,,"מכרז ספורט וחוגים,לידר חוגים",,,,,כללי,,
קאנטרי גלים,https://www.countrygalim.co.il/,,"קאנטרי עירוני, בריכה,קאנטרי גלים",,,,,כללי,,
הספרייה הציבורית,https://ganeytikva.library.org.il/,,"סיפרייה,ספרייה עירונית",,,,,תרבות,,
היכל התרבות מרכז הבמה,https://www.habama-center.com/,,"תרבות,היכל תרבות,מופעי תרבות",,,,,תרבות,,
חנות בגדים קהילתית,https://www.ganeytikva.org.il./חנות-בגדים-קהילתית/,,"חנת בגדים,חנות קהילתית",,,,,כללי,,
פלאים - המרכז לגיל הרך,https://www.plaim.co.il/,,"מרכז גיל הרך,מרכז לילדים קטנים",,,,,חינוך,,
רישום לגני הילדים ובתי ספר,https://edu.onecity.co.il/edu-registration-site/intro?customerId=502200,,"רישום לגנים,רישום בתי ספר,תשלום לגנים,תשלום לחינוך",,,,,חינוך,,
צהרונים,https://www.mygt.org.il/category/%d7%a2%d7%95%d7%93-%d7%91%d7%90%d7%aa%d7%a8/%d7%9b%d7%9c-%d7%aa%d7%95%d7%9b%d7%a0%d7%99%d7%95%d7%aa-%d7%90%d7%97%d7%a8%d7%99-%d7%91%d7%99%d7%aa-%d7%94%d7%a1%d7%a4%d7%a8-%d7%95%d7%94%d7%92%d7%a0%d7%99%d7%9d/,,"צהרון,צהרונים,פעילות צהרונים",,,,,חינוך,,
אישור לטאבו,https://www.ganeytikva.org.il./346/,,"טאבו,מסמך,אישור,אישורים,מסמכים,בקשה,בקשות,עסקה,עסקאות,חוב,חובות,העדר,בעל הנכס,רשם מקרקעין,הגשה,להגיש,זמן טיפול,קבלת קהל",,,,,גבייה,,
הבית הירוק מרכז טיפולי רב תחומי למשפחה,https://www.ganeytikva.org.il/%D7%94%D7%91%D7%99%D7%AA-%D7%94%D7%99%D7%A8%D7%95%D7%A7-%D7%92%D7%A0%D7%99-%D7%AA%D7%A7%D7%95%D7%95%D7%94-%D7%9C%D7%90-%D7%9C%D7%92%D7%A2%D7%AA-%D7%91%D7%93%D7%A3-%D7%94%D7%95%D7%90-%D7%91%D7%91%D7%A0%D7%99%D7%94/,,מרכז טיפולי למשפחה ,,,,,תרבות,,
מועצה דתית - גני תקווה,https://www.ganeytikva.org.il./מועצה-דתית-גני-תקווה/,,"דתית,מועצה דתית,רבנות,נישואים",,,,,כללי,,
מרחבים להשכרה,https://www.ganeytikva.org.il./498/,,"השכרת מבנים,השכרת חלל",,,,,תרבות,,
כניסה למרחב האישי,https://www.ganeytikva.org.il./toshav-center/,,"איזור אישי ,איזור לתושב,מרכז לתושב,מידע לתושב",,,,,כללי,,
העיר שלנו,https://www.ganeytikva.org.il./העיר-שלנו/,,,,,,,כללי,,
אודות גני תקווה,https://www.ganeytikva.org.il./אודות-גני-תקווה/,,,,,,,כללי,,
דבר ראש העיר,https://www.ganeytikva.org.il./דבר-ראש-העיר/,,דבר ראש העיר,,,,,כללי,,
תכנית המתאר הכוללנית של גני תקווה,https://www.ganeytikva.org.il./292/,,,,,,,הנדסה,,
תחבורה ציבורית,https://www.ganeytikva.org.il/348/.,,,,,,,כללי,,
בטיחות ומוגנות קהילתית,https://www.ganeytikva.org.il./בטיחות-ומוגנות-קהילתית/,,,,,,,כללי,,
תושב חדש,https://www.ganeytikva.org.il./תושב-חדש/,,תושב חדש,,,,,כללי,,
פארקים ושכונות בגני תקווה,https://www.ganeytikva.org.il./פארקים-ושכונות-בגני-תקווה/,,"פארק,גנים,גן,גן ציבורי,גינות ציבוריות,קבוצת ווצאפ,מונגש",,,,,כללי,,
"""עיר בריאה""",https://www.ganeytikva.org.il/1108/.,,,,,,,כללי,,
העצים של גני תקווה,https://www.ganeytikva.org.il/1079/.,,"עצים,עצי פרי,עצי צל",,,,,כללי,,
מועצת העיר,https://www.ganeytikva.org.il./מועצת-העיר/,,,,,,,כללי,,
חברות וחברי מועצת העיר,https://www.ganeytikva.org.il./חברות-וחברי-מועצת-העיר/,,,,,,,כללי,,
ועדות העירייה,https://www.ganeytikva.org.il./ועדות-העירייה/,,,,,,,כללי,,
פרוטוקולים ישיבות מליאה,https://www.ganeytikva.org.il/protocols/?year=0&category=5&order=date-desc,,,,,,,כללי,,
לזכרם ולזכרן,https://www.ganeytikva.org.il/yizcor/,,,,,,,כללי,,
אדריכלות הזיכרון,https://www.ganeytikva.org.il./אדריכלות-הזיכרון/,,,,,,,כללי,,
גלריית הפיסול האורבני של גני תקווה,https://www.ganeytikva.org.il./290-1574678029-גלריית-הפיסול-של-גני-תקווה/,,,,,,,כללי,,
עיר תאומה - בירגיש גלאדבאך,https://www.ganeytikva.org.il./עיר-תאומה-בירגיש-גלאדבאך/,,,,,,,כללי,,
קטעי עיתונות,https://www.ganeytikva.org.il./קטעי-עיתונות/,,,,,,,כללי,,
שקיפות וחופש המידע,https://www.ganeytikva.org.il./שקיפות-וחופש-המידע/,,,,,,,כללי,,
תכנית עבודה ותקציב שנתי,https://www.ganeytikva.org.il./תכנית-עבודה-ותקציב-שנתי/,,,,,,,כללי,,
תכנית עבודה 2023,https://www.ganeytikva.org.il./תכנית-עבודה-2023/,,,,,,,כללי,,
ארכיון תכניות עבודה ותקציב שנים קודמות,https://www.ganeytikva.org.il./ארכיון-תכניות-עבודה-ותקציב-שנים-קודמות/,,,,,,,כללי,,
קוד אתי - גני תקווה,https://www.ganeytikva.org.il./קוד-אתי-גני-תקווה/,,,,,,,כללי,,
חוק חופש המידע,https://www.ganeytikva.org.il./0-1565688461-חוק-חופש-המידע/,,,,,,,כללי,,
מבקרת העירייה וממונה על תלונות הציבור,https://www.ganeytikva.org.il./652/,,,,,,,כללי,,
מוקד פניות 106,https://www.ganeytikva.org.il./226/,,"מוקד פניות,106,מוקד פניות 106",,,,,כללי,,
ספר טלפונים,https://www.ganeytikva.org.il./phonebook/,,,,,,,כללי,,
תאגידים עירוניים,https://www.ganeytikva.org.il./תאגידים-עירוניים/,,,,,,,כללי,,
פרוטוקולים,https://www.ganeytikva.org.il/protocols/?year=0&category=5&order=date-desc,,,,,,,כללי,,
מכרזים והתקשרויות,https://www.ganeytikva.org.il./bids/,,,,,,,כללי,,
ארכיון תכניות עבודה ותקציב שנים קודמות,https://www.ganeytikva.org.il./ארכיון-תכניות-עבודה-ותקציב-שנים-קודמות-שקיפות/,,,,,,,כללי,,
דוחות כספיים,https://www.ganeytikva.org.il./דוחות-כספיים/,,,,,,,כללי,,
מקבלי השכר הגבוה,https://www.ganeytikva.org.il./מקבלי-שכר-הגבוה/,,,,,,,כללי,,
דוחות איכות מי השתייה,https://www.mei-tikva.co.il/?CategoryID=274&SearchParam=,,,,,,,כללי,,
מדידות קרינה במוסדות ציבור,https://www.ganeytikva.org.il./מדידות-קרינה-במוסדות-ציבור/,,,,,,,כללי,,
רשימת מאגרי מידע,https://www.ganeytikva.org.il./רשימת-מאגרי-מידע/,,,,,,,כללי,,
מבנה ארגוני,https://www.ganeytikva.org.il./מבנה-ארגוני/,,,,,,,כללי,,
קהילות,https://www.ganeytikva.org.il./קהילות/,,,,,,,כללי,,
קהילה מלידה,https://www.coing.co/Gantik_Taf,,,,,,,כללי,,
בני נוער,https://www.coing.co/Ganei_Tikva_YC,,,,,,,כללי,,
נשים,https://www.ganeytikva.org.il/781/.,,,,,,,כללי,,
אזרחים ותיקים,https://www.coing.co/Gantik_Vatikim,,,,,,,כללי,,
מתנדבים,https://www.coing.co/Gantik_Volunteers,,"התנדבות,רוצה להתנדב,מרכז המתנדבים,מתנדב",,,,,כללי,,
"קהילת צמי""ד",https://www.ganeytikva.org.il./קהילת-צמי-ד/,,,,,,,כללי,,
החברה לפיתוח גני תקווה,https://www.mygt.org.il/,,"חברה כלכלית,חברה לפיתוח ",,,,,כללי,,
מי תקווה,https://www.mei-tikva.co.il/,,"תאגיד מים,תשלום חשבון מים",,,,,כללי,,
ספרייה ציבורית,https://www.ganeytikva.org.il./201/,,,,,,,כללי,,
עמותת אמנות ותרבות בגני תקווה,https://habama.smarticket.co.il/,,,,,,,כללי,,
קצת עלינו,https://www.ganeytikva.org.il./קצת-עלינו/,,,,,,,כללי,,
עושים טוב בגני תקווה | מגשימים את משאלתה האחרונה של לבנת,https://www.ganeytikva.org.il./עושים-טוב-בגני-תקווה-מגשימים-את-משאלתה-האחרונה-של-לבנת/,,,,,,,כללי,,
"הודעת מפקד משמרת בכבאות והצלה | הסבר שימוש בקרש לנעילת הממ""ד",https://www.ganeytikva.org.il./הודעת-מפקד-משמרת-בכבאות-והצלה-הסבר-שימוש-בקרש-לנעילת-הממ-ד/,,,,,,,כללי,,
חלוקת חוברות הגשה,https://www.ganeytikva.org.il./חלוקת-חוברות-הגשה/,,,,,,,כללי,,
היערכות לקיץ,https://www.ganeytikva.org.il./0-1684914265-/,,,,,,,כללי,,
פתרונות למשחקים 70,https://www.ganeytikva.org.il./פתרונות-למשחקים-70/,,,,,,,כללי,,
כללי,https://www.ganeytikva.org.il./0-1702313162-/,,,,,,,כללי,,
מכרזי המועצה הדתית,https://www.ganeytikva.org.il./מכרזי-המועצה-הדתית/,,,,,,,כללי,,
תכנית יזמות חברתית,https://bit.ly/3B0Vmur,,ייזמות חברתית,,,,,כללי,,
משהו חדש מתחיל עכשיו מנהל.ות גן,https://www.ganeytikva.org.il./משהו-חדש-מתחיל-עכשיו-מנהלות-גן/,,,,,,,כללי,,
שירותים בקליק מנהל.ות גן,https://www.ganeytikva.org.il./שירותים-בקליק-מנהלות-גן/,,,,,,,כללי,,
"מהשפ""ח באהבה מנהל.ות גן",https://www.ganeytikva.org.il./מהשפ-ח-באהבה-מנהלות-גן/,,,,,,,כללי,,
"לוח זמנים בעבודה עם השפ""ח",https://www.ganeytikva.org.il./לוח-זמנים-בעבודה-עם-השפ-ח/,,,,,,,כללי,,
הגורמים השונים אשר מלווים אתכן ואותך בגני הילדות והילדים,https://www.ganeytikva.org.il./0-1661868354-/,,,,,,,כללי,,
גמילה מחיתולים בגן,https://www.ganeytikva.org.il./גמילה-מחיתולים-בגן/,,,,,,,כללי,,
הכניסה לגן,https://www.ganeytikva.org.il./הכניסה-לגן/,,,,,,,כללי,,
"עקרונות לעבודת השפ""ח בגן",https://www.ganeytikva.org.il./עקרונות-לעבודת-השפ-ח-בגן/,,,,,,,כללי,,
"היחידה לביקור סדיר (קבסי""ם)",https://www.ganeytikva.org.il./היחידה-לביקור-סדיר-קבסי-ם/,,,,,,,כללי,,
לקראת ועדות מנהל.ות גן,https://www.ganeytikva.org.il./לקראת-ועדות-מנהלות-גן/,,,,,,,כללי,,
מהייעוץ החינוכי אלייך מנהל.ות גן,https://www.ganeytikva.org.il./מהייעוץ-החינוכי-אלייך-מנהלות-גן/,,,,,,,כללי,,
מודל לדיאלוג צוות - הורים,https://www.ganeytikva.org.il./מודל-לדיאלוג-צוות-הורים/,,,,,,,כללי,,
חובת דיווח,https://www.ganeytikva.org.il./חובת-דיווח/,,,,,,,כללי,,
בעקבות מודל ללב,https://www.ganeytikva.org.il./בעקבות-מודל-ללב/,,,,,,,כללי,,
מורה נבוכים מנהל.ות גן,https://www.ganeytikva.org.il./מורה-נבוכים-מנהלות-גן/,,,,,,,כללי,,
גאנט  2022-2023,https://www.ganeytikva.org.il./גאנט-2022-2023/,,,,,,,כללי,,
נהלי בטיחות וביטחון מנהל.ות גן,https://www.ganeytikva.org.il./נהלי-בטיחות-וביטחון-מנהל-ות-גן/,,,,,,,כללי,,
לקראת שנת הלימודים,https://www.ganeytikva.org.il./לקראת-שנת-הלימודים/,,,,,,,כללי,,
הנחיות כלליות לניהול גן תקין,https://www.ganeytikva.org.il./הנחיות-כלליות-לניהול-גן-תקין/,,,,,,,כללי,,
"תומכת הלמידה בגן הילדות והילדים תשפ""ג",https://www.ganeytikva.org.il./תומכת-הלמידה-בגן-הילדות-והילדים-תשפ-ג/,,,,,,,כללי,,
"חוברת נהלים, ביטחון בטיחות ושע""ח גני הילדות והילדים תשפ""ג",https://www.ganeytikva.org.il./חוברת-נהלים-ביטחון-בטיחות-ושע-ח-גני-הילדים-תשפ-ג-גני-תקווה/,,,,,,,כללי,,
הנחיות פתיחת קריאה מוקד 106 גני הילדות והילדים,https://www.ganeytikva.org.il./נהלי-מוקד/,,,,,,,כללי,,
סדר פעולות בחירום בגני הילדות והילדים,https://www.ganeytikva.org.il./סדר-פעולות-בחירום-בגני-הילדות-והילדים/,,,,,,,כללי,,
כתבות,https://www.ganeytikva.org.il/articles/,,,,,,,כללי,,
אגפי העירייה,https://www.ganeytikva.org.il./אגפי-העירייה/,,,,,,,כללי,,
לשכת ראש העיר,https://www.ganeytikva.org.il./לשכת-ראש-העיר/,,"ראשת העיר,ראש העיר,לשכת ראש העיר ",,,,,כללי,,
"לשכת מנכ""ל",https://www.ganeytikva.org.il./לשכת-מנכל/,,,,,,,כללי,,
תרבות ואירועים,https://www.ganeytikva.org.il/285/.,,,,,,,כללי,,
מוקד 106,https://www.ganeytikva.org.il./מוקד-106/,,"מוקד עירוני,מוקד תושבים,106",,,,,כללי,,
ועדת תרומות והנצחה באמצעות תרומה,https://www.ganeytikva.org.il./ועדת-תרומות-והנצחה-באמצעות-תרומה/,,,,,,,כללי,,
אגף החינוך והנוער,https://www.ganeytikva.org.il./אגף-החינוך-והנוער/,,,,,,,כללי,,
גיל הרך לידה עד שלוש,https://www.ganeytikva.org.il./גיל-הרך-לידה-עד-3/,,,,,,,כללי,,
הגנים הפרטיים ומעונות היום,https://www.ganeytikva.org.il./רשימת-מעונות-יום-וגנים-פרטיים/,,,,,,,כללי,,
קהילה מלידה,https://www.coing.co/Gantik_Taf,,,,,,,כללי,,
חינוך קדם יסודי גני הילדים שלוש עד שש,https://www.ganeytikva.org.il./חינוך-קדם-יסודי-גני-הילדים-שלוש-עד-שש/,,,,,,,כללי,,
"הליך השיבוץ לגני הילדות והילדים לשנת תשפ""ה",https://www.ganeytikva.org.il./הליך-השיבוץ-לגני-הילדות-והילדים-לשנת-תשפה/,,"שיבוץ לגנים,שיבוץ גני ילדים",,,,,כללי,,
נעים להכיר גני הילדות והילדים גני תקווה,https://www.ganeytikva.org.il./נעים-להכיר-גני-הילדים-גני-תקווה/,,,,,,,כללי,,
אזורי הרישום,https://www.ganeytikva.org.il/848/.,,"רישום גני ילדים,רישום לגנים",,,,,כללי,,
רישום לגני הילדות והילדים,https://www.ganeytikva.org.il./רישום-לגני-הילדות-והילדים/,,,,,,,כללי,,
תבחיני השיבוץ לגני הילדות והילדים,https://www.ganeytikva.org.il./תבחיני-השיבוץ-לגני-הילדים/,,,,,,,כללי,,
הליך הרישום לגני הילדות והילדים,https://www.ganeytikva.org.il./הליך-הרישום-לגני-ילדים/,,"שאלות על גני ילדים,מידע גני ילדים,הליך רישום לגן",,,,,כללי,,
שאלות ותשובות - גני הילדות והילדים,https://www.ganeytikva.org.il./שאלות-ותשובות-גני-הילדים/,,"שאלות על גני ילדים,מידע גני ילדים ",,,,,כללי,,
