 ,links,notes,tags,semanticsearch,client,id,diagram,category,,uniqueCategories
הרפורמה בחוק רישוי עסקים,https://www.ganeytikva.org.il./הרפורמה-בחוק-רישוי-עסקים/,,,,,,,כללי,,
מהו צו רישוי עסקים,https://www.ganeytikva.org.il./מהו-צו-רישוי-עסקים/,,,,,,,רישוי עסקים,,
המפרט הרשותי של העירייה,https://www.ganeytikva.org.il./0-1610262207-המפרט-הרשותי-של-מועצה/,,,,,,,כללי,,
דרישות כלליות מעסקים,https://www.ganeytikva.org.il./0-1610263403-דרישות-כלליות-מעסקים/,,,,,,,כללי,,
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il./0-1610263790-דרישות-פרטניות-מעסקים/,,,,,,,כללי,,
מעקב בקשה לקבלת רישיון עסק,https://rishuy-portal.citysys.co.il/?mun=ganey_tikva#/baal/login,,,,,,,כללי,,
הגשת בקשה מקוונת לקבלת רישיון עסק,https://rishuy-portal.citysys.co.il/new_request/?mun=ganey_tikva,,,,,,,כללי,,
מערכת זימון תורים למחלקת רישוי ופיקוח עסקים,https://www.ganeytikva.org.il/appointments/?id=24  ,,,,,,,כללי,,
פיקוח על הבניה והעסקים,https://www.ganeytikva.org.il./פיקוח-על-הבניה-והעסקים/,,,,,,,כללי,,
הנחיות כלליות לעסקים,https://www.ganeytikva.org.il./דרישות-כלליות-מעסקים/,,,,,,,רישוי עסקים,,
דרישות פרטניות מעסקים,https://www.ganeytikva.org.il./דרישות-פרטניות-מעסקים/,,,,,,,רישוי עסקים,,
הנחיות לשימוש במפרט האחיד,https://www.ganeytikva.org.il./הנחיות-לשימוש-במפרט-האחיד/,,,,,,,כללי,,
עמדות טעינה,https://www.ganeytikva.org.il./עמדות-טעינה/,,"עמודות טעינה,רכב חשמלי טעינה,איפה יש עמדות טעינה ",,,,,כללי,,
תחבורה ציבורית,https://www.ganeytikva.org.il./תחבורה-ציבורית/,,"תחנות אוטובוס,תחנת אוטובוס,רכבת קלה ",,,,,כללי,,
תלונה על קו אוטובוס,https://www.ganeytikva.org.il./תלונה-על-קו-אוטובוס/,,,,,,,כללי,,
מיזם רכב שיתופי  - בוחרים בתחבורה ירוקה ושיתופית,https://www.ganeytikva.org.il./מיזם-רכב-שיתופי-עוברים-לתחבורה-ירוקה-ושיתופית/,,,,,,,כללי,,
מערכות לייצור אנרגיה מתחדשת על גגות מבני ציבור,https://www.ganeytikva.org.il./פרויקט-סולארי-על-גגות-מבני-ציבור/,,"פאנלים סולרים,אנרגיה מתחדשת",,,,,כללי,,
מידע כללי וממשלתי על מערכות פוטו-וולטאיות,https://www.ganeytikva.org.il./מידע-כללי-על-מערכות-סולאריות/,,,,,,,כללי,,
אתרי פאנלים סולאריים בתחומי הרשות,https://www.ganeytikva.org.il./פאנלים-סולאריים/,,,,,,,כללי,,
שאלות תשובות,https://www.ganeytikva.org.il./שאלות-תשובות/,,,,,,,כללי,,
מקורות מידע נוספים,https://www.ganeytikva.org.il./מקורות-מידע-נוספים/,,,,,,,כללי,,
כלים חינוכיים,https://www.ganeytikva.org.il./כלים-חינוכיים/,,,,,,,כללי,,
נוהל הקמת גינת כלבים,https://www.ganeytikva.org.il./0-1622015301-/,,גינות כלבים ,,,,,כללי,,
גזברות,https://www.ganeytikva.org.il./אגף-גזברות-והנהלת-חשבונות/,,,,,,,כללי,,
הנהלת חשבונות,https://www.ganeytikva.org.il./הנהלת-חשבונות/,,,,,,,כללי,,
שכר,https://www.ganeytikva.org.il./שכר/,,,,,,,כללי,,
תמיכות עירוניות,https://www.ganeytikva.org.il./תמיכות-עירוניות/,,,,,,,כללי,,
רכש,https://www.ganeytikva.org.il./מחלקת-רכש/,,,,,,,כללי,,
הכנסות וארנונה,https://www.ganeytikva.org.il/171/,,גבייה,,,,,גבייה,,
אגף חזות פני העיר,https://www.ganeytikva.org.il./אגף-חזות-פני-העיר/,,,,,,,כללי,,
שירות וטרינרי,https://www.ganeytikva.org.il./שירות-וטרינרי/,,,,,,,כללי,,
מחלקת לוגיסטיקה,https://www.ganeytikva.org.il./מחלקת-לוגיסטיקה/,,,,,,,כללי,,
השאלת ציוד לאבלים,https://www.ganeytikva.org.il./השאלת-ציוד-לאבלים/,,,,,,,כללי,,
"מפגעי תעבורה - תיקון, שיפוץ, שילוט",https://www.ganeytikva.org.il./מפגעי-תעבורה-תיקון-שיפוץ-שילוט/,,,,,,,כללי,,
מפגעי מזג אוויר,https://www.ganeytikva.org.il./מפגעי-מזג-אוויר/,,"סופה,גשם כבד,הצפה,עמוד שקרס,עץ שקרס",,,,,כללי,,
תחזוקה שוטפת ברחבי העיר,https://www.ganeytikva.org.il./תחזוקה-שוטפת-ברחבי-העיר/,,,,,,,כללי,,
תחזוקה שוטפת במוסדות חינוך וגני ילדים,https://www.ganeytikva.org.il./תחזוקה-שוטפת-במוסדות-חינוך-וגני-ילדים/,,,,,,,כללי,,
אירועים מטעם העירייה – הקמה ופירוק,https://www.ganeytikva.org.il./אירועים-מטעם-העירייה-הקמה-ופירוק/,,,,,,,כללי,,
ליווי קבלני משנה בתחזוקה כללית,https://www.ganeytikva.org.il./ליווי-קבלני-משנה-בתחזוקה-כללית/,,"קבלני משנה,קבלני תחזוקה ",,,,,כללי,,
מחלקת גנים ונוף ומתקני משחק,https://www.ganeytikva.org.il./מחלקת-גינון-ומתקני-משחק/,,"מתקני משחק,גינת משחקים",,,,,כללי,,
יצירת קשר עם מחלקת גנים ונוף,https://www.ganeytikva.org.il./יצירת-קשר-עם-מחלקת-גינון/,,,,,,,כללי,,
אישורי כריתת עצים,https://www.ganeytikva.org.il./אישורי-כריתת-עצים/,,,,,,,כללי,,
נוהל בקשת אישור כריתה,https://www.ganeytikva.org.il./נוהל-בקשת-אישור-כריתה/,,,,,,,כללי,,
אישורים שניתנו,https://www.gov.il/he/departments/guides/pro_felling_trees,,,,,,,כללי,,
תכנית גינון שבועית בחתך רחובות במחלקת הגינון,https://www.ganeytikva.org.il./תכנית-גינון-שבועית-בחתך-רחובות-ותחומי-עבודה-של-מחלקת-הגינון/,,,,,,,כללי,,
העצים של גני תקווה,https://www.ganeytikva-trees.org.il/,,,,,,,כללי,,
מחלקת פיקוח עירוני,https://www.ganeytikva.org.il./מחלקת-פיקוח-עירוני/,,,,,,,כללי,,
נוהל מדיניות אכיפת חוקי עזר,https://www.ganeytikva.org.il./נוהל-מדיניות-אכיפת-חוקי-עזר/,,,,,,,כללי,,
מדיניות אירועים פרטיים בפארקים ציבוריים,https://www.ganeytikva.org.il./מדיניות-אירועים-פרטיים-בפארקים-ציבוריים/,,,,,,,כללי,,
"דו""חות חניה ופיקוח",https://www.ganeytikva.org.il./דו-חות-חניה-ופיקוח/,,,,,,,כללי,,
אכיפת איסור עישון,https://www.ganeytikva.org.il./אכיפת-איסור-עישון/,,,,,,,כללי,,
פיקוח וחניה,https://www.ganeytikva.org.il./פיקוח-וחניה/,,,,,,,כללי,,
"מחלקת שפ""ע",https://www.ganeytikva.org.il./מחלקת-שפ-ע/,,,,,,,כללי,,
נוהל הוצאה ופינוי גזם/גרוטאות ברחבי העיר,https://www.ganeytikva.org.il./נוהל-הוצאה-ופינוי-גזם-גרוטאות-ברחבי-העיר/,,,,,,,כללי,,
"ועדה לאיכות סביבה ושפ""ע - פרוטוקולים",https://www.ganeytikva.org.il./protocols/?year=0&category=3&order=date-desc,,,,,,,כללי,,
ימי פינוי ונוהל הוצאת גזם וגרוטאות,https://www.ganeytikva.org.il./ימי-פינוי-ונוהל-הוצאת-גזם-וגרוטאות/,,,,,,,כללי,,
עושים איכות סביבה - ממחזרים,https://www.ganeytikva.org.il./עושים-איכות-סביבה-ממחזרים/,,,,,,,כללי,,
פינוי אשפה,https://www.ganeytikva.org.il./נוהל-הוצאה-ופינוי-גזם-גרוטאות-ברחבי-המועצה/,,"נוהל הוצאה, פינוי אשפה,אשפה,זבל,פסולת",,,,,שפע,,
ימי פינוי אשפה ביתית ניקיון רחובות ומיקום מחזוריות לפי רחוב,https://www.ganeytikva.org.il./ימי-פינוי-אשפה-ביתית-ומיקום-מחזוריות-לפי-רחובות/,,"פינוי אשפה ימי פינוי,גזם ימי פינוי,מתי מוצאים גזם,גרוטאות,אשפה ביתית,פסולות בתית,זבל,מיחזוריות,מחזור,פינוי,רחוב",,,,,שפע,,
מחלקת חשמל ותאורה,https://www.ganeytikva.org.il./מחלקת-חשמל-ותאורה/,,,,,,,כללי,,
מתן שירות אחזקה לתאורת רחוב,https://www.ganeytikva.org.il./מתן-שירות-אחזקה-לתאורת-רחוב/,,,,,,,כללי,,
מתן שירות אחזקה למוסדות החינוך וציבורי,https://www.ganeytikva.org.il./מתן-שירות-אחזקה-למוסדות-החינוך-וציבורי/,,,,,,,כללי,,
מתן שירות לאירועי העירייה,https://www.ganeytikva.org.il./מתן-שירות-לאירועי-העירייה/,,,,,,,כללי,,
ביצוע בדיקות קרינה במוסדות חינוך,https://www.ganeytikva.org.il./ביצוע-בדיקות-קרינה-במוסדות-חינוך/,,,,,,,כללי,,
הקצאת מקום חנייה לנכים,https://www.ganeytikva.org.il./הקצאת-מקום-חנייה-לנכים/,,,,,,,כללי,,
מחלקת אחזקת מערכות,https://www.ganeytikva.org.il./מחלקת-אחזקת-מערכות/,,,,,,,כללי,,
אנרגיה סולארית – מערכות פוטו וולטאי,https://www.ganeytikva.org.il./אנרגיה-סולארית-מערכות-פוטו-וולטאי/,,,,,,,כללי,,
מעליות ומחסומים,https://www.ganeytikva.org.il./מעליות-ומחסומים/,,,,,,,כללי,,
מערכות מיזוג אוויר מרכזיות,https://www.ganeytikva.org.il./מערכות-מיזוג-אוויר-מרכזיות/,,,,,,,כללי,,
מערכות שחרור עשן,https://www.ganeytikva.org.il./מערכות-שחרור-עשן/,,,,,,,כללי,,
"חדרי משאבות ומז""חים",https://www.ganeytikva.org.il./חדרי-משאבות-ומז-חים/,,,,,,,כללי,,
בריכות ביולוגיות,https://www.ganeytikva.org.il./בריכות-ביולוגיות/,,,,,,,כללי,,
"מחלקת בטחון, בטיחות וחירום",https://www.ganeytikva.org.il./אגף-לבטחון-בטיחות-וחירום/,,,,,,,כללי,,
סטטוס גני תקווה פיקוד העורף,https://www.ganeytikva.org.il./סטטוס-גני-תקווה-פיקוד-העורף/,,,,,,,כללי,,
היערכות לחירום - הנחיות מצילות חיים,https://www.ganeytikva.org.il./duplicated-1659813076/,,,,,,,כללי,,
רשימת מקלטים לשעת חירום,https://www.ganeytikva.org.il./duplicated-1679384251/,,,,,,,כללי,,
מיזם 100,https://www.ganeytikva.org.il./מיזם-100/,,,,,,,כללי,,
יחידת סער,https://www.ganeytikva.org.il./יחידת-סער/,,,,,,,כללי,,
הנחיות לציבור במזג אוויר סוער,https://www.ganeytikva.org.il./הנחיות-לציבור-במזג-אוויר-סוער/,,,,,,,כללי,,
מצלמות אבטחה ביישוב,https://www.ganeytikva.org.il./מצלמות-אבטחה-ביישוב/,,,,,,,כללי,,
משמר השכונה,https://www.ganeytikva.org.il./בסיס-מתנדבים-ושיטור-קהילתי/,,,,,,,כללי,,
אגף קהילה וקידום עסקים ומעמד האישה,https://www.ganeytikva.org.il./אגף-קהילה-וקידום-עסקים/,,,,,,,כללי,,
מחוברות - קהילת הנשים של גני תקווה,https://www.ganeytikva.org.il./מחוברות-קהילת-נשים/,,,,,,,כללי,,
צילומי תדמית של מחוברות,https://www.ganeytikva.org.il./צילומי-תדמית/,,,,,,,כללי,,
מחוברות לטוב,https://www.ganeytikva.org.il./duplicated-1697993758/,,,,,,,כללי,,
חמישי נשי,https://www.ganeytikva.org.il./חמישי נשי /,,,,,,,כללי,,
קורס מבוא - NLP ומיינדפולנס,https://www.ganeytikva.org.il./0-1644502385-/,,,,,,,תרבות,,
קורס שיווק דיגיטלי,https://www.ganeytikva.org.il./duplicated-1645358291/,,,,,,,תרבות ,,
קורס תכנון פיננסי,https://www.ganeytikva.org.il./duplicated-1645358331/,,,,,,,תרבות,,
קורס נומרולוגיה התפתחותית,https://www.ganeytikva.org.il./קורס-נומרולוגיה-התפתחותית/,,,,,,,תרבות,,
דייט עם אימוש!,https://www.ganeytikva.org.il./duplicated-1686061577/,,,,,,,תרבות ,,
גורג'ס | את הכי גורג'ס כשאת תורמת,https://www.ganeytikva.org.il./גורג-ס-את-הכי-גורג-ס-כשאת-תורמת/,,,,,,,תרבות,,
מרגישים בבית | הרצאות להורים אצלכם בבניין,https://www.ganeytikva.org.il./duplicated-1681724026/,,,,,,,תרבות,,
מתחשבים - בגני תקווה לכל בית יהיה מחשב!,https://www.ganeytikva.org.il./דואגים-למחשב-לכל-בית/,,,,,,,תרבות ,,
עסקים בגני תקווה,https://www.ganeytikva.org.il./עסקים-בגני-תקווה/,,,,,,,רישוי עסקים,,
מחלקת תרבות ואירועים,https://www.ganeytikva.org.il./מחלקת-תרבות-ואירועים/,,,,,,,כללי,,
אגף דוברות והסברה,https://www.ganeytikva.org.il./אגף-דוברות-הסברה-ושירות-לתושב/,,,,,,,כללי,,
אגף אסטרטגיה חדשנות ודיגיטל,https://www.ganeytikva.org.il./אגף-אסטרטגיה-חדשנות-ודיגיטל/,,,,,,,כללי,,
פרויקט 'עיר חכמה',https://www.ganeytikva.org.il./עיר-חכמה/,,,,,,,כללי,,
READ YOUR METER,https://www.ganeytikva.org.il./read-your-meter/,,,,,,,כללי,,
תוכנת אופיס בחינם לתלמידי ומורי מערכת החינוך,https://www.ganeytikva.org.il./תוכנת-אופיס-בחינם-לתלמידי-ומורי-מערכת-החינוך/,,,,,,,כללי,,
אגף משאבי אנוש,https://www.ganeytikva.org.il./מחלקת-משאבי-אנוש/,,,,,,,כללי,,
לשכה משפטית,https://www.ganeytikva.org.il./לשכה-משפטית/,,,,,,,כללי,,
יחידת ביטוח ותביעות,https://www.ganeytikva.org.il./יחידת-ביטוח-ותביעות/,,,,,,,כללי,,
מבקרת העירייה ותלונות הציבור,https://www.ganeytikva.org.il./מבקרת-העירייה-ותלונות-הציבור/,,,,,,,כללי,,
דוחות הממונה על תלונות הציבור,https://www.ganeytikva.org.il./דוחות-הממונה-על-פניות-הציבור/,,,,,,,כללי,,
טופס הגשת תלונה לממונה על תלונות הציבור בעירייה,https://www.ganeytikva.org.il./טופס-הגשת-תלונה-לממונה-על-תלונות-הציבור-במועצה/,,,,,,,כללי,,
תרבות יהודית,https://www.ganeytikva.org.il./המחלקה-לתרבות-יהודית/,,,,,,,כללי,,
אגף ספורט ובריאות,https://www.ganeytikva.org.il./אגף-ספורט-ובריאות/,,,,,,,כללי,,
"""עיר בריאה""",https://www.ganeytikva.org.il./עיר-בריאה/,,,,,,,כללי,,
אתר אפשרי בריא,https://efsharibari.gov.il/,,,,,,,כללי,,
רשת ערים בריאות,http://www.healthycities.co.il/,,,,,,,כללי,,
"הכירו את נועה אפל, נערה בת 18 עם צרכים מיוחדים",https://www.ganeytikva.org.il./הכירו-את-נועה-אפל-נערה-בת-18-עם-צרכים-מיוחדים/,,,,,,,כללי,,
"הכירו את אורי דוד, בן ה-13 וחצי, הלומד בחטיבת ""הראשונים",https://www.ganeytikva.org.il./הכירו-את-אורי-דוד-בן-ה-13-וחצי-הלומד-בחטיבת-הראשונים/,,,,,,,כללי,,
"הכירו את אורי ונועם, ילדים ממועדונית הרווחה, תושבת גני תקווה",https://www.ganeytikva.org.il./הכירו-את-אורי-ונועם-ילדים-ממועדונית-הרווחה-תושבת-גני-תקווה/,,,,,,,כללי,,
"הכירו את גאיה פרידמן, נערה עם צרכים מיוחדים, תושבת גני תקווה:",https://www.ganeytikva.org.il./הכירו-את-גאיה-פרידמן-נערה-עם-צרכים-מיוחדים-תושבת-גני-תקווה/,,,,,,,כללי,,
גנית,https://www.ganeytikva.org.il./גנית/,,,,,,,כללי,,
גילגל,https://www.ganeytikva.org.il./גילגל/,,,,,,,כללי,,
חברת פסגות,https://www.ganeytikva.org.il./חברת-פסגות/,,,,,,,כללי,,
barcodes,https://www.ganeytikva.org.il./barcodes/,,,,,,,כללי,,
"ברכת ראש המועצה, ליזי דלריצ'ה | חגי תשרי תשפ""ב",https://www.ganeytikva.org.il./ברכת-ראש-המועצה-ליזי-דלריצ-ה-לחגי-תשרי/,,,,,,,כללי,,
מנהל.ות גן,https://www.ganeytikva.org.il./מנהלות-גן/,,,,,,,כללי,,
עמוד ראשי,https://www.ganeytikva.org.il./,,,,,,,כללי,,
תנאי שימוש,https://www.ganeytikva.org.il./terms/,,,,,,,כללי,,
מדיניות פרטיות,https://www.ganeytikva.org.il./privacy/,,,,,,,כללי,,
מרחב אישי לתושב/ת,https://www.ganeytikva.org.il./toshav-center/,,,,,,,כללי,,
FOOTER,https://www.ganeytikva.org.il./footer/,,,,,,,כללי,,
לומר מילה טובה,https://www.ganeytikva.org.il./לומר-מילה-טובה/,,,,,,,כללי,,
הצהרת נגישות,https://www.ganeytikva.org.il./accessibility/,,,,,,,כללי,,
עסקים,https://www.ganeytikva.org.il./עסקים/,,"עסקים בעיר,עזרה לעסקים,פתיחת עסק",,,,,כללי,,
מתעסקים בעסקים,https://www.ganeytikva.org.il./מתעסקים-בעסקים/,,,,,,,כללי,,
לוח עסקים,https://www.ganeytikva.org.il./935/,,,,,,,כללי,,
רישוי עסקים,https://www.ganeytikva.org.il./420/,,"עסקים בעיר,רישוי עסקים,בקשה לעסק",,,,,רישוי עסקים,,
קידום עסקים,https://www.ganeytikva.org.il./859/,,,,,,,רישוי עסקים,,
QBIX מרחב עבודה עירוני,https://qbix.co.il/,,,,,,,כללי,,
איכות הסביבה,https://www.ganeytikva.org.il./איכות-הסביבה/,,,,,,,כללי,,
חתולי רחוב,https://www.ganeytikva.org.il./האכלת-חתולי-רחוב/,,"האכלת חתולים,חתול רחוב,מתקני האכלה",,,,,כללי,,